Strategy,MeanRewards
Hybrid2',129.6
Hybrid2',136.2
Hybrid2',147.2
Hybrid2',162.2
Hybrid2',170.2
Hybrid2',0.2
Hybrid2',7.2
Hybrid2',14.6
Hybrid2',21
Hybrid2',30.2
Hybrid2',39.4
Hybrid2',50
Hybrid2',59.8
Hybrid2',69
Hybrid2',80.2
Hybrid2',92.6
Hybrid2',104.8
Hybrid2',118
Hybrid2',129.4
Hybrid2',138.6
Hybrid2',148
Hybrid2',162.2
Hybrid2',172.2
Hybrid2',186.2
Hybrid2',198
Hybrid2',0.2
Hybrid2',11.2
Hybrid2',17.6
Hybrid2',23
Hybrid2',27.2
Hybrid2',35.8
Hybrid2',49.2
Hybrid2',56.4
Hybrid2',62.8
Hybrid2',77.4
Hybrid2',87.8
Hybrid2',98.2
Hybrid2',104
Hybrid2',115.2
Hybrid2',124.6
Hybrid2',137
Hybrid2',151.6
Hybrid2',161
Hybrid2',168.6
Hybrid2',176.8
Hybrid2',0
Hybrid2',13.4
Hybrid2',15.2
Hybrid2',26
Hybrid2',29.6
Hybrid2',40.6
Hybrid2',50
Hybrid2',56.4
Hybrid2',68.2
Hybrid2',81.4
Hybrid2',94.4
Hybrid2',102.2
Hybrid2',113.2
Hybrid2',124
Hybrid2',135
Hybrid2',138.8
Hybrid2',145.8
Hybrid2',159.2
Hybrid2',165.4
Hybrid2',175.8
Hybrid2',0.2
Hybrid2',8.2
Hybrid2',12
Hybrid2',17.4
Hybrid2',19.6
Hybrid2',21
Hybrid2',32.6
Hybrid2',41.4
Hybrid2',48
Hybrid2',54.4
Hybrid2',61.6
Hybrid2',70
Hybrid2',79
Hybrid2',86.8
Hybrid2',93.2
Hybrid2',102.2
Hybrid2',114
Hybrid2',128.8
Hybrid2',132.4
Hybrid2',135.6
Hybrid2',0
Hybrid2',2
Hybrid2',8.8
Hybrid2',19.4
Hybrid2',28.4
Hybrid2',36.6
Hybrid2',38.8
Hybrid2',45.4
Hybrid2',52
Hybrid2',60.6
Hybrid2',70.8
Hybrid2',83.6
Hybrid2',96.8
Hybrid2',103
Hybrid2',117.6
Hybrid2',128.6
Hybrid2',138.4
Hybrid2',148.6
Hybrid2',157.4
Hybrid2',162.2
Hybrid2',0
Hybrid2',10
Hybrid2',16
Hybrid2',22.6
Hybrid2',27.8
Hybrid2',30.8
Hybrid2',38.4
Hybrid2',46.4
Hybrid2',56.6
Hybrid2',64.4
Hybrid2',68
Hybrid2',75.4
Hybrid2',76
Hybrid2',79
Hybrid2',82.6
Hybrid2',90.6
Hybrid2',99.2
Hybrid2',108
Hybrid2',118.4
Hybrid2',125
Hybrid2',-0.2
Hybrid2',11
Hybrid2',20.4
Hybrid2',26.4
Hybrid2',31.6
Hybrid2',37.8
Hybrid2',43.8
Hybrid2',44.8
Hybrid2',47.6
Hybrid2',52.6
Hybrid2',52.4
Hybrid2',57.2
Hybrid2',59
Hybrid2',62.8
Hybrid2',67.4
Hybrid2',76.2
Hybrid2',83
Hybrid2',88
Hybrid2',89.2
Hybrid2',94.4
Hybrid2',0
Hybrid2',4.6
Hybrid2',10.8
Hybrid2',18.4
Hybrid2',27.2
Hybrid2',36.2
Hybrid2',48.2
Hybrid2',58.4
Hybrid2',68.6
Hybrid2',75.6
Hybrid2',86.8
Hybrid2',100.2
Hybrid2',109.8
Hybrid2',115.6
Hybrid2',127.6
Hybrid2',134.2
Hybrid2',145.4
Hybrid2',157.4
Hybrid2',166
Hybrid2',176.2
Hybrid2',0
Hybrid2',8.8
Hybrid2',13.6
Hybrid2',13.4
Hybrid2',19.2
Hybrid2',32.4
Hybrid2',38.4
Hybrid2',48.8
Hybrid2',51.8
Hybrid2',59.6
Hybrid2',68.8
Hybrid2',81.6
Hybrid2',88.4
Hybrid2',103
Hybrid2',118
Hybrid2',124.2
Hybrid2',132.6
Hybrid2',140.4
Hybrid2',148.2
Hybrid2',161.6
Hybrid2',0
Hybrid2',-1.4
Hybrid2',3.2
Hybrid2',12.2
Hybrid2',15.8
Hybrid2',25.6
Hybrid2',37.4
Hybrid2',45.6
Hybrid2',49
Hybrid2',50.8
Hybrid2',55.2
Hybrid2',58
Hybrid2',63.2
Hybrid2',71.8
Hybrid2',74.6
Hybrid2',79
Hybrid2',89.8
Hybrid2',98.2
Hybrid2',109.6
Hybrid2',113.4
Hybrid2',0.2
Hybrid2',-0.6
Hybrid2',1.4
Hybrid2',6.2
Hybrid2',13.4
Hybrid2',19.6
Hybrid2',27
Hybrid2',37
Hybrid2',52.6
Hybrid2',60
Hybrid2',67.4
Hybrid2',71.2
Hybrid2',74.4
Hybrid2',83
Hybrid2',90.6
Hybrid2',102
Hybrid2',101.8
Hybrid2',108.2
Hybrid2',114.2
Hybrid2',118.6
Hybrid2',0
Hybrid2',4.4
Hybrid2',14.8
Hybrid2',19
Hybrid2',30
Hybrid2',36.6
Hybrid2',46.8
Hybrid2',59.2
Hybrid2',67.8
Hybrid2',76.4
Hybrid2',85
Hybrid2',96
Hybrid2',107.2
Hybrid2',116.2
Hybrid2',131
Hybrid2',145.4
Hybrid2',156.6
Hybrid2',168.8
Hybrid2',173
Hybrid2',186.2
Hybrid2',-0.2
Hybrid2',6.4
Hybrid2',7.6
Hybrid2',20.6
Hybrid2',33.2
Hybrid2',38.2
Hybrid2',46
Hybrid2',60.6
Hybrid2',70.6
Hybrid2',78.4
Hybrid2',81.2
Hybrid2',90.8
Hybrid2',97.2
Hybrid2',116
Hybrid2',135.8
Hybrid2',147
Hybrid2',157
Hybrid2',169.2
Hybrid2',180.8
Hybrid2',193.6
Hybrid2',0
Hybrid2',5.2
Hybrid2',10
Hybrid2',21.2
Hybrid2',27.6
Hybrid2',36.8
Hybrid2',46.2
Hybrid2',56.4
Hybrid2',65.6
Hybrid2',79.4
Hybrid2',84
Hybrid2',93.2
Hybrid2',107.6
Hybrid2',115.4
Hybrid2',125.6
Hybrid2',133.4
Hybrid2',135.8
Hybrid2',148
Hybrid2',156.2
Hybrid2',163
Hybrid2',0
Hybrid2',3.2
Hybrid2',12
Hybrid2',17
